wrapperType	kind	artistId	collectionId	trackId	artistName	collectionName	trackName	collectionCensoredName	trackCensoredName	collectionArtistId	collectionArtistName	artistViewUrl	collectionViewUrl	trackViewUrl	previewUrl	artworkUrl30	artworkUrl60	artworkUrl100	collectionPrice	trackPrice	releaseDate	collectionExplicitness	trackExplicitness	discCount	discNumber	trackCount	trackNumber	trackTimeMillis	country	currency	primaryGenreName	isStreamable
track	song	657767063	1560995557	1560997150	Manizha	Eurovision Song Contest Rotterdam 2021	RUSSIAN WOMAN	Eurovision Song Contest Rotterdam 2021	RUSSIAN WOMAN (Eurovision 2021 - Russia)	36270.0	Various Artists	https://music.apple.com/us/artist/manizha/657767063?uo=4	https://music.apple.com/us/album/russian-woman-eurovision-2021-russia/1560995557?i=1560997150&uo=4	https://music.apple.com/us/album/russian-woman-eurovision-2021-russia/1560995557?i=1560997150&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview114/v4/d8/7b/06/d87b06fe-b758-4d53-1da0-41b571a80755/mzaf_6742335986239603433.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/46/ef/c9/46efc905-0548-5a05-045f-196a85a8ea3c/source/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/46/ef/c9/46efc905-0548-5a05-045f-196a85a8ea3c/source/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/46/ef/c9/46efc905-0548-5a05-045f-196a85a8ea3c/source/100x100bb.jpg	19.99	-1.0	2021-03-19T12:00:00Z	notExplicit	notExplicit	1	1	39	35	177100	USA	USD	Pop	False
track	song	657767063	1558497187	1558497274	Manizha	RUSSIAN WOMAN - Single	RUSSIAN WOMAN	RUSSIAN WOMAN - Single	RUSSIAN WOMAN			https://music.apple.com/us/artist/manizha/657767063?uo=4	https://music.apple.com/us/album/russian-woman/1558497187?i=1558497274&uo=4	https://music.apple.com/us/album/russian-woman/1558497187?i=1558497274&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview124/v4/9a/69/61/9a696142-9001-32dd-9b94-6e193185aab8/mzaf_11961970789511027283.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/75/43/2a/75432a23-118a-ff52-e39a-8290f73cda2f/source/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/75/43/2a/75432a23-118a-ff52-e39a-8290f73cda2f/source/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/75/43/2a/75432a23-118a-ff52-e39a-8290f73cda2f/source/100x100bb.jpg	0.99	0.99	2021-03-19T12:00:00Z	notExplicit	notExplicit	1	1	1	1	176878	USA	USD	Pop	True
track	song	657767063	1460606458	1460606476	Manizha	Womanizha - Single	I Am Who I Am	Womanizha - Single	I Am Who I Am			https://music.apple.com/us/artist/manizha/657767063?uo=4	https://music.apple.com/us/album/i-am-who-i-am/1460606458?i=1460606476&uo=4	https://music.apple.com/us/album/i-am-who-i-am/1460606458?i=1460606476&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/9d/78/aa/9d78aa45-01fc-9ec0-cc6a-f675c92da191/mzaf_8680289985300293052.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/9e/b5/b1/9eb5b1a1-c6ee-ff05-951e-37cab7370617/source/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/9e/b5/b1/9eb5b1a1-c6ee-ff05-951e-37cab7370617/source/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/9e/b5/b1/9eb5b1a1-c6ee-ff05-951e-37cab7370617/source/100x100bb.jpg	3.87	1.29	2019-04-26T12:00:00Z	notExplicit	notExplicit	1	1	3	3	303400	USA	USD	Pop	True
track	song	657767063	1205132086	1205132092	Manizha	Manuscript	New Love	Manuscript	New Love			https://music.apple.com/us/artist/manizha/657767063?uo=4	https://music.apple.com/us/album/new-love/1205132086?i=1205132092&uo=4	https://music.apple.com/us/album/new-love/1205132086?i=1205132092&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/ae/4f/a6/ae4fa6d8-bc8a-8a44-cd19-2cffab210b9d/mzaf_6684273648622286941.plus.aac.p.m4a	https://is2-ssl.mzstatic.com/image/thumb/Music125/v4/ee/5c/7c/ee5c7c4e-ee35-b14f-6f27-cf5795648c74/source/30x30bb.jpg	https://is2-ssl.mzstatic.com/image/thumb/Music125/v4/ee/5c/7c/ee5c7c4e-ee35-b14f-6f27-cf5795648c74/source/60x60bb.jpg	https://is2-ssl.mzstatic.com/image/thumb/Music125/v4/ee/5c/7c/ee5c7c4e-ee35-b14f-6f27-cf5795648c74/source/100x100bb.jpg	9.03	1.29	2017-02-17T12:00:00Z	notExplicit	notExplicit	1	1	7	5	171720	USA	USD	Pop	True
track	song	657767063	1351117795	1351118992	Manizha	ЯIAM	громче слов	ЯIAM	громче слов			https://music.apple.com/us/artist/manizha/657767063?uo=4	https://music.apple.com/us/album/%D0%B3%D1%80%D0%BE%D0%BC%D1%87%D0%B5-%D1%81%D0%BB%D0%BE%D0%B2/1351117795?i=1351118992&uo=4	https://music.apple.com/us/album/%D0%B3%D1%80%D0%BE%D0%BC%D1%87%D0%B5-%D1%81%D0%BB%D0%BE%D0%B2/1351117795?i=1351118992&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/e1/e9/0e/e1e90e13-e38e-3fe0-9580-522b2b806cb0/mzaf_9549061701061574517.plus.aac.p.m4a	https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/48/94/b5/4894b5da-8ec2-17ce-3039-990b0698b837/source/30x30bb.jpg	https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/48/94/b5/4894b5da-8ec2-17ce-3039-990b0698b837/source/60x60bb.jpg	https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/48/94/b5/4894b5da-8ec2-17ce-3039-990b0698b837/source/100x100bb.jpg	10.32	1.29	2018-03-23T12:00:00Z	notExplicit	notExplicit	1	1	8	6	195427	USA	USD	Vocal	True
track	song	657767063	1351117795	1351119010	Manizha	ЯIAM	устал (bonus track)	ЯIAM	устал (bonus track)			https://music.apple.com/us/artist/manizha/657767063?uo=4	https://music.apple.com/us/album/%D1%83%D1%81%D1%82%D0%B0%D0%BB-bonus-track/1351117795?i=1351119010&uo=4	https://music.apple.com/us/album/%D1%83%D1%81%D1%82%D0%B0%D0%BB-bonus-track/1351117795?i=1351119010&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/c0/90/fa/c090fa78-32f6-4ae1-b20f-7a615941ee13/mzaf_17736086973153687589.plus.aac.p.m4a	https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/48/94/b5/4894b5da-8ec2-17ce-3039-990b0698b837/source/30x30bb.jpg	https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/48/94/b5/4894b5da-8ec2-17ce-3039-990b0698b837/source/60x60bb.jpg	https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/48/94/b5/4894b5da-8ec2-17ce-3039-990b0698b837/source/100x100bb.jpg	10.32	1.29	2018-03-23T12:00:00Z	notExplicit	notExplicit	1	1	8	8	233684	USA	USD	Vocal	True
track	song	657767063	1154875239	1154875392	Manizha & Dima Ustinov	Sleepy Song - Single	Sleepy Song	Sleepy Song - Single	Sleepy Song			https://music.apple.com/us/artist/manizha/657767063?uo=4	https://music.apple.com/us/album/sleepy-song/1154875239?i=1154875392&uo=4	https://music.apple.com/us/album/sleepy-song/1154875239?i=1154875392&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/5a/b3/d1/5ab3d15b-51c4-2c1e-07f7-25836061cad2/mzaf_7031795590923457889.plus.aac.p.m4a	https://is4-ssl.mzstatic.com/image/thumb/Music62/v4/09/af/a3/09afa330-9e27-9039-2050-e83174d5bd8b/source/30x30bb.jpg	https://is4-ssl.mzstatic.com/image/thumb/Music62/v4/09/af/a3/09afa330-9e27-9039-2050-e83174d5bd8b/source/60x60bb.jpg	https://is4-ssl.mzstatic.com/image/thumb/Music62/v4/09/af/a3/09afa330-9e27-9039-2050-e83174d5bd8b/source/100x100bb.jpg	0.99	0.99	2016-08-26T12:00:00Z	notExplicit	notExplicit	1	1	1	1	233500	USA	USD	Electronic	True
track	song	657767063	1351117795	1351118537	Manizha	ЯIAM	изумруд	ЯIAM	изумруд			https://music.apple.com/us/artist/manizha/657767063?uo=4	https://music.apple.com/us/album/%D0%B8%D0%B7%D1%83%D0%BC%D1%80%D1%83%D0%B4/1351117795?i=1351118537&uo=4	https://music.apple.com/us/album/%D0%B8%D0%B7%D1%83%D0%BC%D1%80%D1%83%D0%B4/1351117795?i=1351118537&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/70/e2/ba/70e2ba34-7bc3-95f7-8a65-f87953590125/mzaf_3795963601057896234.plus.aac.p.m4a	https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/48/94/b5/4894b5da-8ec2-17ce-3039-990b0698b837/source/30x30bb.jpg	https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/48/94/b5/4894b5da-8ec2-17ce-3039-990b0698b837/source/60x60bb.jpg	https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/48/94/b5/4894b5da-8ec2-17ce-3039-990b0698b837/source/100x100bb.jpg	10.32	1.29	2018-03-23T12:00:00Z	notExplicit	notExplicit	1	1	8	4	254387	USA	USD	Vocal	True
track	song	657767063	1351117795	1351118539	Manizha	ЯIAM	чувство	ЯIAM	чувство			https://music.apple.com/us/artist/manizha/657767063?uo=4	https://music.apple.com/us/album/%D1%87%D1%83%D0%B2%D1%81%D1%82%D0%B2%D0%BE/1351117795?i=1351118539&uo=4	https://music.apple.com/us/album/%D1%87%D1%83%D0%B2%D1%81%D1%82%D0%B2%D0%BE/1351117795?i=1351118539&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/aa/20/dd/aa20dd3b-c5d0-edb5-a546-301b35fd65ad/mzaf_10720255108024387308.plus.aac.p.m4a	https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/48/94/b5/4894b5da-8ec2-17ce-3039-990b0698b837/source/30x30bb.jpg	https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/48/94/b5/4894b5da-8ec2-17ce-3039-990b0698b837/source/60x60bb.jpg	https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/48/94/b5/4894b5da-8ec2-17ce-3039-990b0698b837/source/100x100bb.jpg	10.32	1.29	2018-03-23T12:00:00Z	notExplicit	notExplicit	1	1	8	5	298520	USA	USD	Vocal	True
track	song	657767063	1351117795	1351119000	Manizha	ЯIAM	я	ЯIAM	я			https://music.apple.com/us/artist/manizha/657767063?uo=4	https://music.apple.com/us/album/%D1%8F/1351117795?i=1351119000&uo=4	https://music.apple.com/us/album/%D1%8F/1351117795?i=1351119000&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/2c/0f/46/2c0f464b-278f-a099-3616-e4bfe910a8ff/mzaf_5402349751495034477.plus.aac.p.m4a	https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/48/94/b5/4894b5da-8ec2-17ce-3039-990b0698b837/source/30x30bb.jpg	https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/48/94/b5/4894b5da-8ec2-17ce-3039-990b0698b837/source/60x60bb.jpg	https://is3-ssl.mzstatic.com/image/thumb/Music128/v4/48/94/b5/4894b5da-8ec2-17ce-3039-990b0698b837/source/100x100bb.jpg	10.32	1.29	2018-03-23T12:00:00Z	notExplicit	notExplicit	1	1	8	7	185840	USA	USD	Vocal	True
